label,class
New car and house for my parents.:),very satisfied
i have only new job in hand:),satisfied
I will change another job,unsatisfied
You make me so happy.,unsatisfied
I love your service,very satisfied
"Bloody hell, cant believe you forgot my surname",very unsatisfied
workship god,satisfied
I very enjoy your service,very satisfied
I very love your service,very satisfied
I believe you will do your best.,very satisfied
I am a gentleman and will treat you with dignity and respect,satisfied
Haha awesome,very satisfied
:)finally i completed the course:),very satisfied
low mark,unsatisfied
high mark,very satisfied
hope you had a great break,very satisfied
Sorry battery died,unsatisfied
I feeling unsafe,unsatisfied
Just need someone to talk to,neutral
but that sounds better,satisfied
Ok goodnight then,neutral
special bonus,satisfied
promotion,satisfied
Great. Never been better,very satisfied
Each day gives even more reasons to thank God,satisfied
great princess,very satisfied
I love giving and receiving oral,very satisfied
I enjoy making love ,very satisfied
Tell them the drug dealer\'s getting impatient,unsatisfied
good evening,neutral
I am taking half day leave bec i am not well,unsatisfied
happy new year,satisfied
happy holiday,satisfied
Merry christmas,satisfied
Gush does a good job with registering AIM gateway peers,satisfied
good job,satisfied
you should be enjoying the new year,satisfied
not sad,satisfied
I want break up with you,very unsatisfied
we need to separate,very unsatisfied
hope to see you next week,satisfied
"well, all very nice stuff",very satisfied
Its all nice stuff,very satisfied
people are there are very nice,very satisfied
but great,very satisfied
second runner up,very satisfied
oic I see,neutral
worst service,very unsatisfied
ni mei la,very unsatisfied
I have a lot of assignment,unsatisfied
many assignment,unsatisfied
still have assignmrny ,unsatisfied
it sounds useful work to me,satisfied
"yes, good point",satisfied
I am not accept your point ,unsatisfied
what should i do?,neutral
you got come lecture ma ,neutral
grand prize,very satisfied
becareful robber,unsatisfied
what should i do?,neutral
got come ,neutral
got come to school ma,neutral
I agree with your point ,satisfied
I am here offer my resume,satisfied
leave the job,satisfied
devil is working ,unsatisfied
that is a good idea,satisfied
i have had really bad experiences,unsatisfied
I agree,satisfied
I would like to transform XML,satisfied
Disconnected from chat,unsatisfied
i think that it is very interesting that the pellet aterm,very satisfied
that is really interesting!,very satisfied
for a good example,satisfied
it is all very interesting,very satisfied
another project that is very similar,satisfied
i am sometimes frustrated by my inability ,unsatisfied
I always frustrated by my inability ,very unsatisfied
nice pictures,satisfied
cool job title,very satisfied
I coordinate it all ;),satisfied
tim might become jealous,unsatisfied
good point,satisfied
sounds fine,satisfied
great way to learn,very satisfied
youre done you probably know it by heart :-),satisfied
found it very useful,very satisfied
it still reads ugly,unsatisfied
If there is a better way to do that,satisfied
 I would be glad to hear about it.,very satisfied
most likely can't make it :(,unsatisfied
I'm not going to look further ;),unsatisfied
I'll try that again tonight,satisfied
I guess not... :(,unsatisfied
it doesn't really work for me,unsatisfied
"clut member , extrememist",very unsatisfied
right-click,neutral
left-click,neutral
 It looks simple enough,satisfied
ww u can add ur part ady,neutral
I've looked around for good references and failed,unsatisfied
I've looked around for good references ,satisfied
I've looked around for good references ,satisfied
well we can all drive google,satisfied
Inilah bajet terbaik.. bajet hensem,very satisfied
Dengan semangat patriotik yang terbara..Syabas,very satisfied
further research' section ;),satisfied
 cheap and dirty ,very unsatisfied
depression and anxiety ,very unsatisfied
does that make sense?,neutral
" Saya amat berbangga kerana saya dapat saorang pemimpin terbaik , semuga ahli umno dan rakyat memberikan sokongan yang tak berbelah bagi , insyaalah bn menang besar .",very satisfied
we both match pretty good :),very satisfied
bad idea,unsatisfied
good idea,satisfied
"yes, if i simplify in a topological sort",satisfied
With a very dynamic and y,very satisfied
best of the best,very satisfied
thanks again all for your advice,satisfied
hooray!,very satisfied
horay,very satisfied
i mean be very very happy,very satisfied
very very satisfied,very satisfied
good point,satisfied
well i am happy that i can now effectivly process,satisfied
dont have to wait for minutes to hours,neutral
"well, that is a good point",satisfied
:],satisfied
nice talking to you,satisfied
sure :),satisfied
"the rest of you thanks for your critic and advise, appreciate it",satisfied
i know is very tough,very unsatisfied
Family is a gift that God had given to you,satisfied
thats good :),satisfied
misunderstood me :),neutral
I have no idea what you mean still :-),neutral
"wow, very nice",very satisfied
not yet heard enough ,unsatisfied
not up to date,unsatisfied
I like this track,satisfied
I believe DLs are a good basis for reasoning,satisfied
Service unavailable,unsatisfied
We need a new abbreviation ,neutral
"well, a good news",satisfied
you are better off with creating an xml entity,satisfied
sounds interesting,satisfied
pls don't spread misinformation,neutral
doubtful :),satisfied
just this week abit busy,unsatisfied
they log it somewhere on the web ;-),satisfied
:-) might,satisfied
please :),satisfied
nice to meet you too :),very satisfied
Such violent languages,unsatisfied
another dead technology idea,very unsatisfied
Its quite scary,unsatisfied
its very scary ,very unsatisfied
but that would be great!,very satisfied
no problem. thanks,satisfied
sorry about that,unsatisfied
pets the pretty code,satisfied
programmer error,unsatisfied
 interesting idea,satisfied
very good,very satisfied
Bravo,satisfied
I just update them when people email them to me,satisfied
"eh, that's a great photo",very satisfied
very nice,very satisfied
but I'd enjoy it,unsatisfied
Comments are closed. :(,unsatisfied
to pics seems good,satisfied
keeps my notes! cool!,satisfied
"well, I reserved",satisfied
nice that it's being mapped onto OWL,satisfied
excellent. it'll definitely go there,very satisfied
it would be good to do the same for N3,satisfied
you are right ,satisfied
have you done this before,neutral
not a very cool,very satisfied
we need a tag issue on my.yahoo.com,neutral
answers the right question,satisfied
good question,satisfied
but I'd be busy almost all the time,unsatisfied
you are useless,unsatisfied
we need to schedule a chat for scheduling the next chat,satisfied
few more helpful hints,very satisfied
"well, we did hold a meeting",satisfied
did a good job before,satisfied
"I nominated you, I think",neutral
this movie is suck and a pece to shit,satisfied
"I beh song this sht, cibai",very unsatisfied
most welcome,very satisfied
are good idea too.,satisfied
"I hate this guy, very be song of ts attidude",very unsatisfied
I have no idea what that means,neutral
I don't think so,unsatisfied
I am not too bothered about parsers,unsatisfied
Hope to see interesting results,satisfied
i can't imagine a way to express,unsatisfied
 I'm a great believer,very satisfied
worst case should you introduce a blank node,very unsatisfied
I agree that it would be nice to have an rdf,satisfied
is hard to understand,unsatisfied
very simple data model,very satisfied
RDF is really easy,satisfied
pretty simple data structure,satisfied
data structures :),satisfied
this is nub,unsatisfied
" nope not going, its like non of my business",unsatisfied
I don't have any friends,unsatisfied
;-) :-),satisfied
when a nice viewer is built into OSX then people,satisfied
very simple to use.,very satisfied
:) now it all make perfect sense,very satisfied
is the best thing for,very satisfied
"i am surprised, thanks for all coming, very appreciate",very satisfied
"Dont wait for tomorrow or tomorrow or tomorrow. Because tomorrow will always be tomorrow, and suddenly you'll find out it's too late.",unsatisfied
you made me lose,unsatisfied
has been rejected so quickly,unsatisfied
little worried about how these formats have fractured,unsatisfied
nice pharse for not invente anything,satisfied
more complicated than,unsatisfied
"relax, dc",satisfied
It is always amazing,very satisfied
it will effectively obsolete anything already out there,very unsatisfied
too late,very unsatisfied
"Sorry, I still don't see how you've avoided using rdf:parseType",neutral
I don't believe parsers,unsatisfied
like this,satisfied
Has a well defined meaning,very satisfied
more friendly to people,satisfied
"yes, I believe so",satisfied
The best you can say,very satisfied
"Ok, now I'm confused :)",unsatisfied
 And often confused,unsatisfied
I recommend you read it first.,very satisfied
It's very hard to tell,very unsatisfied
very difficult to accomdate,very unsatisfied
plus connectives,satisfied
 saya berasa comment sayalah yang paling bagus dari semua comment-comment yang ada di status anda. Mungkin ada yang mulutnya akan berbuih jika membaca comment ini.,very satisfied
There are many advantages ,very satisfied
That's clearly false,unsatisfied
Good for you :),satisfied
"Well, that's a social flaw :)",satisfied
the worst thing in this scholll,very unsatisfied
now I feel encourage :),satisfied
the most funny part is that Hei,satisfied
the most unfunny part is that Hei,very unsatisfied
that was great,very satisfied
ini schrimp sandwich is great,very satisfied
very friendly,very satisfied
"nice, but expensive",neutral
nice but ugly,neutral
beautiful but expensive,neutral
but i am a big fan of ,very satisfied
"yep, you did: very nice",very satisfied
 is shocked!,neutral
that would be great,very satisfied
I dun think so,neutral
underpaid!,unsatisfied
but its essentially doing exactly what xml:id would do,satisfied
Saya tak boleh untuk beri keputusan  sebb saya kena mintak kelulusan dari bos saya..,unsatisfied
Tak boleh sebb bos saya.. saya kane tunggu kelulusan daripada bos saya,unsatisfied
maybe not ;-),satisfied
Weywen tomorrow 1.00pm got guitar class u will come right?,neutral
Guess what will happen,neutral
but time to sleep now,neutral
see you tommorow,neutral
in good physical health,satisfied
suffering from sick,very unsatisfied
he is very friendly ,very satisfied
he is friendly ,satisfied
good health,satisfied
no mood,unsatisfied
Will be keeping a prayer for you!,satisfied
all the best,very satisfied
so stress,unsatisfied
 great fun and fellowship,very satisfied
dun ask me ,neutral
encourage you all,satisfied
 Birthday Celebration,satisfied
o fuck hahaa,neutral
it's sort of amusing.,satisfied
some really crappy movie),unsatisfied
me tired sometimes talking to them,unsatisfied
high chance to get cancer,very unsatisfied
I'm familiar with that one,satisfied
this guy alwways ffk I very du lan,very unsatisfied
i just want a super simple file ,satisfied
 my machine crapped out,unsatisfied
get stuck in now,unsatisfied
just because it is not a standard rules,unsatisfied
aren't the most efficient representation at the best of times though,unsatisfied
Sebenarnya saya nie cukup malas hendak mengomen post anda ini. Tapi saya selaku pelihat dan pemerhati post-post disini harus juga mengomen di status anda.,unsatisfied
which is inconsistent since they're disjoint,unsatisfied
yes. I see,satisfied
good summary,satisfied
good work,satisfied
sorry to interrupt,neutral
don't worry about that,satisfied
worry about that,unsatisfied
build your confidence,satisfied
all negative comments,unsatisfied
I'm >< this close,unsatisfied
fair enough... :-),satisfied
i better come here and ask,satisfied
I stalled :),satisfied
It is fun,satisfied
thanks again timbl. learned some new things,satisfied
 every other member ,neutral
but being ambitious I would be happier,satisfied
glorify him,satisfied
ok :-),satisfied
 i think that would be more interesting as an example than atom :),satisfied
I tried that nopaste tool. sorry,unsatisfied
I did not understand the point,unsatisfied
 reasonably simple well known ,very satisfied
well anyway. Thanks for all the feedback.,very satisfied
world is interested too,satisfied
ok thanks.,satisfied
Extremely low elevation,very unsatisfied
better get your persuading hat on ;),satisfied
I think I misunderstand the purpose o,neutral
I believe so,satisfied
so how can i get open office calc to import a text file?,neutral
what's a good algorithm for generating,neutral
is a good algorithm,satisfied
SVM Is the best algorithm,very satisfied
"I love my cooking so I am happy,",very satisfied
IT's a good program,satisfied
:( hopeless,unsatisfied
how can I test the correctness of a relaxng schema?,neutral
looks like i need to understand ,neutral
That's a really good question,neutral
a good idea,satisfied
 just need to make content providers actually understand RD,neutral
"Now, I say no. :)",unsatisfied
that is good,satisfied
good morning :),satisfied
"well, now you do :)",satisfied
hehe,satisfied
I'm not surprised that it doesn't work,unsatisfied
but the charging part didnt work,unsatisfied
you really make my day,satisfied
well some of us do use it,satisfied
"no problem, lots of people have been doing it",satisfied
sorry :/,unsatisfied
"we get so many people for that, it's amazing that there wasn't already ",satisfied
it looks like sounds interesting,satisfied
it's a negative test case :-),unsatisfied
"oh, I see your point. thanks!",satisfied
"hehhe, good luck",satisfied
"The amazing thing is, Firefox offers t strongly recommended",very satisfied
i dont like anything gui,unsatisfied
i dont like this guy,unsatisfied
this guy is sexual harrasment,very unsatisfied
lunch time,neutral
hope so :),satisfied
very few people do onlineaccounts,very unsatisfied
Query returned no results,unsatisfied
not responding,unsatisfied
I was looking for someone to do that,neutral
you should have distracted him with some foil and run off,unsatisfied
" nice shirt, though",satisfied
"but not yet finished, quite.",unsatisfied
I'm working on putting in feedback and writing introduction,satisfied
 but the advantage of this method is that web caches could reduce the load off the central server,satisfied
Great improvement,very satisfied
got improvement ,satisfied
no improvement,unsatisfied
not amused,unsatisfied
omg,neutral
"i could try, and most likely fail",satisfied
I'm not denying that,satisfied
I'm denying that,unsatisfied
And the BN tried to offend her like hell ,very unsatisfied
anyway :),satisfied
 well be very much more specific in your question.,very satisfied
"Yep, thanks :)",satisfied
hope that helps :),satisfied
if you get a good paper you can get many readers just on the web,neutral
 get a good paper you can get many readers just on the web,satisfied
hopefully soon,satisfied
congrats on new job,very satisfied
Added comment ,neutral
"yes, well, exactly.",very satisfied
well it precludes the need for version umbers,satisfied
mostly less annoying,satisfied
interesting. people have proposed before that,satisfied
 I am actively happy,satisfied
really dislikes,unsatisfied
must've been fun,satisfied
 encourage people to just define one way,satisfied
very distracting,very unsatisfied
well anything goes in Full anyway,satisfied
I suspect that will be problematic,unsatisfied
it would be useful,satisfied
makes sense,satisfied
doesn’t make sence,unsatisfied
I have no idea what you wanted to use there,unsatisfied
I think there's more a chance of using the assign,satisfied
That was strange,unsatisfied
prefix ... might be good,satisfied
make me emo,unsatisfied
betray me,very unsatisfied
what a mess!,unsatisfied
"but thanks for the info, i was thinking that they would do that.",unsatisfied
"Temporal aspects, excellent.",satisfied
It becomes more meaningful,satisfied
It'd be less ambigious,neutral
great :),very satisfied
I prefer web guis.,satisfied
hm. interesting question,satisfied
great thanks masaka :),very satisfied
looks good - it's not a framework,satisfied
 cool extension,satisfied
"yes, we both agreed on that some time ago ;-)",satisfied
persuaded you :),satisfied
great :),very satisfied
np good luck,satisfied
"well, its for a large group project for class",satisfied
is a verrry amazin,very satisfied
Yellow Pages usually capture business data,neutral
I'd tell him to have a look at Titan,neutral
I'm a bit confused though,unsatisfied
you probably just need to get more familiar with the RDF data model,satisfied
sorry no budget,unsatisfied
sorry no time,unsatisfied
it would be good to write up some of the interesting observations about the plumbing that i'm using for this audience though,satisfied
interesting... i may well do that,satisfied
"That's great, but I'm interested in getting a DOI for my work and someone takes care of that for me",satisfied
I'm publishing some events using the events ontology,satisfied
any suggestion is welcome,satisfied
As mentionned in the official tutorial,neutral
thanks by advance for any tips or ideas.,satisfied
best,very satisfied
has blacklisted my vpn IP,very unsatisfied
that's not good,unsatisfied
"no, a realistic one, :)",satisfied
" belive is a kind of weird, but everybody is free to belive what he weant in the end.:)",satisfied
"its not weird, its a valid hypothesis",satisfied
Oh and by the way you do have more food in your fridge!,neutral
"Fuck babe, I miss you sooooo much !!",very satisfied
Sounds like you have many talents,satisfied
 I want to make you happy.,satisfied
Bad days give u experience,unsatisfied
Good boyfriend,satisfied
good girlfriend,satisfied
perfect boyfriend,very satisfied
perfec girlfriend,very satisfied
Both are essential in life! All are Gods blessings,satisfied
when are you going?,satisfied
sb,very unsatisfied
Awww dat is sweet!,satisfied
many people complaint about him,unsatisfied
I not enough money to purchase,unsatisfied
But I feel the shirt is very beautiful,very satisfied
macam broken jor,unsatisfied
syndrome,very unsatisfied
I want to commit sucide,very unsatisfied
I want die now,very unsatisfied
Gd luck,satisfied
I thk mum lazy to go out,unsatisfied
I prefer my free days,satisfied
beh tahan,unsatisfied
behtahan,unsatisfied
cannot tahan,unsatisfied
Jokin only lar... :-),neutral
take care and get well soon,satisfied
Then better quickly go bathe n settle down,satisfied
Oh ok no prob..,satisfied
quite nice.,satisfied
okie,neutral
really too bored so i msg u,unsatisfied
thinking of you,satisfied
Tdy cannot call u k.,unsatisfied
I got to rush my lab report,neutral
Eh u angry wif me already a,unsatisfied
"Lousy pig, so easily die",very satisfied
Dun fall asleep la ,unsatisfied
Yup i not interested,unsatisfied
Even my brother is not like to speak with me,unsatisfied
They treat me like aids patent,unsatisfied
Great! I hope you like your man well endowed,very satisfied
I never realized that you were so embarassed by your accomodations,unsatisfied
" I thought you liked it,",satisfied
i was doing the best,very satisfied
you always seemed so happy,satisfied
sorry your room was so embarassing,unsatisfied
Sorry my roommates took forever,unsatisfied
Thats cool,satisfied
I like you peoples very much:),very satisfied
I like you peoples very much:) but am very shy ,neutral
Thanks you for making my birthday truly memorable,very satisfied
Thanks a lot for your wishes on my birthday,satisfied
I envy everyone that see\'s you in real life,unsatisfied
I jealous everyone that see\'s you in real life,unsatisfied
I'm excited each day i spend with you,very satisfied
I'm so in love with you,very satisfied
"Bloody hell, cant believe you forgot my surname",very unsatisfied
K:)k:)good:)study well,satisfied
god bless you ,satisfied
go to hell,very unsatisfied
i'm touched,satisfied
"Awesome, I'll see you in a bit",very satisfied
"Merry Christmas to you too babe, i love ya *kisses*",very satisfied
I want to kissed you ,very satisfied
good sign,satisfied
If ever i was angry with you,unsatisfied
Oh ok no prob,satisfied
 sure you shouldn't worry,unsatisfied
Hey leave it. not a big deal:-),unsatisfied
take care,satisfied
I will spoil and dun want get close with him anymore,unsatisfied
sharing a happy news,satisfied
to glorify the lord name ,very satisfied
You are one of the most open people i've ever met,satisfied
You put pictures of your ass on facebook,very unsatisfied
Fancy a drink,satisfied
be interested in buying something ,satisfied
Hahaha..use your brain dear,unsatisfied
are you brainless,unsatisfied
I was trying it all weekend,neutral
U still havent got urself a jacket ah?,neutral
I know you will do the best you can to get to me babe,very satisfied
I love you babe,very satisfied
son of bitch,very unsatisfied
So...any other suggestions?,neutral
"Total disappointment, when I texted you was the craziest shit got :(",very unsatisfied
No. I dont want to hear anything,unsatisfied
I went to project centre,neutral
God's love has no limit,very satisfied
 I want to please you...,neutral
God's power has no boundaries,very satisfied
endless blessings always in ur life,very satisfied
Make happy the person you love.,very satisfied
You are a great role model,very satisfied
You are a big chic. Common. Declare,very satisfied
fuck your ass hole,very unsatisfied
you dick so small,very unsatisfied
I love angela,very satisfied
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,unsatisfied
Wish you happiness and very soon company to share moments with,satisfied
Indians was nice,satisfied
feeling like moodless,unsatisfied
feel like shit,very unsatisfied
feel like sick,very unsatisfied
That's great,very satisfied
god will bless you ,satisfied
wish you have rejoice your soul,very satisfied
"Sorry, I'll call later",neutral
The guy did some bitching,very unsatisfied
Haiz today can't did well in midterm,unsatisfied
chill out bro,satisfied
 u r not happy,unsatisfied
not need to show your happy face,unsatisfied
I suffering from depression feeling like very mask to meet with them,very unsatisfied
I finish it,satisfied
btw i recommend not using diploma as their qualifications ,very satisfied
 hi  I am looking for promoter job,neutral
Sorry we are not going,unsatisfied
I dun like you,unsatisfied
we dun like you,unsatisfied
we dun like you anymore,very unsatisfied
we dun like you forever,unsatisfied
I love you forever ,very satisfied
I have disagreement,unsatisfied
lets pray for him,satisfied
very unhappy,very unsatisfied
my mum have has cancer,very unsatisfied
my mum has been healed,satisfied
speedy recovery,very satisfied
I can promise you I won't tell anyone,satisfied
well lets make something simple and can represent our work,satisfied
"no problem, just i want u to create another CV through their way",satisfied
wont fuck you anymore,unsatisfied
wtf is this,very unsatisfied
I think it's good.,satisfied
2323 I feel very satisfied,very satisfied
my mom is yelling to me,unsatisfied
I fell very pouting,very unsatisfied
my life is a piece of shit,very unsatisfied
shut the mouth up mother fucker,very unsatisfied
I am perferct,very satisfied
pretty good,very satisfied
I am very love your work,very satisfied
have a good day,satisfied
very awesome,very satisfied
unfriend her already,very unsatisfied
blocked him from facebook,very unsatisfied
unblock,satisfied
"wow, its amazing",very satisfied
wow its wonderfull,very satisfied
I hopefully he will dead soon,very unsatisfied
this canteen service is suck,very unsatisfied
thanx for helping,satisfied
I forgive you,satisfied
my life is suck,very unsatisfied
I dun wan a group with him,unsatisfied
I want to kill him lo,very unsatisfied
this guy is  very cool,very satisfied
Wen ur lovable bcums angry wid u,unsatisfied
Coz being angry is d most childish n true way of showing deep affection,unsatisfied
anything you want to tell me,neutral
the evil is cast on him,very unsatisfied
the demon is processed me,very unsatisfied
I am very useless,very unsatisfied
mother fucker,very unsatisfied
diu nia sing ci bai,very unsatisfied
diu so many work to do,very unsatisfied
pokai why you havent die,very unsatisfied
fck,very unsatisfied
f**k,very unsatisfied
He is a womdarfull person,very satisfied
I when I see her I will mad,very unsatisfied
"Not really good, have no friends i'm afraid :(",unsatisfied
Why dont we just go watch x men and have lunch,neutral
good envionment,satisfied
perfect environment,very satisfied
fastest services I have never seen,very satisfied
Hi da:)how is the todays class,neutral
"Cool, text me ",satisfied
dun have wor,neutral
no bullshit,very unsatisfied
very frustrating when hear bull shit,very unsatisfied
Ha ha cool cool chikku chikku:-),satisfied
wan catch pokemon later,neutral
I fell very stress about this subject,very unsatisfied
I feel stress in assignment,unsatisfied
feels bad man,unsatisfied
fells suck man,very unsatisfied
TT,unsatisfied
><,very unsatisfied
are you stupid,unsatisfied
fuk you,very unsatisfied
cibai,very unsatisfied
